Name,Link,SKU,Supplier,Price_Inc_VAT,All_Images,Region,Brand,Quantity,Pieces_in_Pack,Pack_Size,Coverage_M2,Volume_M3,Product_Length_M,Product_Width,Product_Thickness,Product_Weight_Kg,Product_Type,Material,Unit_Type,Pack_Type,description
REFURB MAKITA DLX2336S 18V 2 X 3.0AH LI-ION LXT CORDLESS TWIN PACK,https://www.screwfix.com/p/refurb-makita-dlx2336s-18v-2-x-3-0ah-li-ion-lxt-cordless-twin-pack/519hy,519HY,Screwfix,72.0,"https://media.screwfix.com/is/image/ae235/519HY_P, https://media.screwfix.com/is/image/ae235/519HY_A7",UK (Default),Makita,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,Impact Driver,N/A,N/A,PACK,"18V twin pack containing combi drill and impact driver. The DHP453 is a powerful cordless combi drill with 2 mechanical gears and all-metal gear construction to ensure high transmission durability. A variable speed trigger covers a wide range of drilling, driving and hammer applications. Other features include 16 adjustable torque settings plus drill mode, a single-sleeve keyless chuck to enable easy bit removal and a soft-grip ergonomic handle. The DTD156 is a compact and lightweight impact driver with a powerful 4-pole motor producing a maximum fastening torque of 155Nm. Other features include a variable speed trigger, LED light with afterglow function and ergonomically designed handle with rubberised soft-grip. The DLX2336S kit comes with 2 x 3.0Ah batteries and charger in a durable carry case which contains convenient external storage compartments for screws and drill bits.

Key Features:
• 1 x 18V Combi Drill 42 Nm
• 1 x 18V Impact Driver 155 Nm
• 2 x 18V 3.0Ah Li-Ion Batteries
• 1 x 60min Charger
• 1 x Carry Case(s)"
REFURB MAKITA DBO180Z 125MM 18V LI-ION LXT CORDLESS RANDOM ORBITAL SANDER - BARE,https://www.screwfix.com/p/refurb-makita-dbo180z-125mm-18v-li-ion-lxt-cordless-random-orbital-sander-bare/942pt,942PT,Screwfix,83.99,"https://media.screwfix.com/is/image/ae235/942PT_P, https://media.screwfix.com/is/image/ae235/942PT_A1",UK (Default),Makita,1,1,1,N/A,N/A,N/A,N/A,N/A,1 kg,Random Orbital Sander,N/A,N/A,BAG,"A powerful, cordless random orbital sander. Ergonomically designed for the best possible grip and handling and soft rubberised grip area provides comfort. 3-stage, push-button, variable speed control allows precise work. Dust is extracted through 8 holes under pad, leaving a clean work area. Accepts Makita LXT 18V Li-ion batteries (1.5, 3.0, 4.0 and 5.0Ah), producing as much power as a main powered unit.

Key Features:
• Hook & Loop Fixing
• Variable Speed
• Dust Bag & Extraction Facility
• Soft-Grip Handle
• Replaceable Carbon Brushes
• Does Not Include Battery or Charger"
"REFURB EVOLUTION MINIBELT2 1/2"" ELECTRIC THIN BELT SANDER 230V",https://www.screwfix.com/p/refurb-evolution-minibelt2-1-2-electric-thin-belt-sander-230v/303ey,303EY,Screwfix,43.99,https://media.screwfix.com/is/image/ae235/303EY_P,UK (Default),Evolution,1,1,1,0.005941 m2 (Calculated),N/A,0.457,0.013000000000000001,N/A,1.7 kg,Thin Belt Sander,N/A,N/A,N/A,"Versatile performance sander with adjustable arm and variable speed control for precision sanding in various materials. Features compact design and comfortable ergonomic handle. Ideal for sanding, filing and sharpening tool blades in professional or DIY projects where a smooth finish is required. Perfect for use in confined spaces. Brushes are replaceable.

Key Features:
• 400W
• Variable Speed
• Dust Extraction Facility
• Adjustable Belt Tracking
• Rubber-Coated Grip
• Speed Control Dial
• Trigger Switch
• Replaceable Brushes
• Dust Sealed Bearings"
BOSCH PLL1P RED AUTOMATIC LINE LASER LEVEL,https://www.screwfix.com/p/bosch-pll1p-red-automatic-line-laser-level/7879g,7879G,Screwfix,4.0,"https://media.screwfix.com/is/image/ae235/7879G_A5, https://media.screwfix.com/is/image/ae235/7879G_A6, https://media.screwfix.com/is/image/ae235/7879G_A7, https://media.screwfix.com/is/image/ae235/7879G_P, https://media.screwfix.com/is/image/ae235/7879G_A1, https://media.screwfix.com/is/image/ae235/7879G_A2, https://media.screwfix.com/is/image/ae235/7879G_A3, https://media.screwfix.com/is/image/ae235/7879G_A4",UK (Default),Bosch,1,1,1,0.017080 m2 (Calculated),0.002391 m3 (Calculated),0.244,0.07,0.14,N/A,Line Laser Level,ABS Plastic,N/A,N/A,"Easy to operate line laser level combined with a traditional spirit level. Projects horizontal, vertical or diagonal laser lines and points precisely transferring heights in a room. High quality bright laser diodes are clearly visible. Provides DIYers with the perfect tool for all kinds of jobs, such as fitting cupboards, switches and sockets and hanging pictures parallel to the rise of a staircase. Supplied with flexible wall holder suitable for all surfaces, enabling exact positioning with fine adjustment.

Key Features:
• 20m Working Range Without Receiver
• Accurate to ± 0.5mm/m
• Generates
• No IP Rating For Indoor Use
• ABS Plastic Construction
• Horizontal, Vertical or Diagonal Lines & Points
• 2 x Vials
• Flexible Wall-Mount
• 5m Line Laser & 20m Laser Point"
DEWALT DCE088D1R-GB 12V 1 X 2.0AH LI-ION XR RED SELF-LEVELLING CROSS-LINE LASER LEVEL,https://www.screwfix.com/p/dewalt-dce088d1r-gb-12v-1-x-2-0ah-li-ion-xr-red-self-levelling-cross-line-laser-level/911kj,911KJ,Screwfix,100.0,"https://media.screwfix.com/is/image/ae235/911KJ_A5, https://media.screwfix.com/is/image/ae235/911KJ_A6, https://media.screwfix.com/is/image/ae235/911KJ_A7, https://media.screwfix.com/is/image/ae235/911KJ_P, https://media.screwfix.com/is/image/ae235/911KJ_A1, https://media.screwfix.com/is/image/ae235/911KJ_A2, https://media.screwfix.com/is/image/ae235/911KJ_A3, https://media.screwfix.com/is/image/ae235/911KJ_A4",UK (Default),DEWALT,1,1,1,0.072800 m2 (Calculated),0.024024 m3 (Calculated),0.455,0.16,0.33,N/A,Laser Level,Bi-Material,N/A,PACK,"Tough self-levelling cross-line laser with integrated magnetic pivoting base. Projects both horizontal and vertical lines. Locking pendulum to help prevent damage to internal components. Rubberised overmould to absorb knocks. Supplied in a heavy duty case.

Key Features:
• 1 x 2.0Ah Li-Ion Battery
• 20m Working Range Without Receiver
• Accurate to ± 0.3mm/m
• Generates Cross
• Horizontal & Vertical Lines
• IP65 For Indoor & Outdoor Use
• Bi-Material Construction
• 50m Working Range With Optional Detector"
ERBAUER MULTI-MATERIAL PLUNGE CUTTING BLADES 34MM 5 PACK,https://www.screwfix.com/p/erbauer-multi-material-plunge-cutting-blades-34mm-5-pack/4107p,4107P,Screwfix,19.99,"https://media.screwfix.com/is/image/ae235/4107P_A2, https://media.screwfix.com/is/image/ae235/4107P_A3, https://media.screwfix.com/is/image/ae235/4107P_A4, https://media.screwfix.com/is/image/ae235/4107P_P, https://media.screwfix.com/is/image/ae235/4107P_A1",UK (Default),Erbauer,1,5,5,N/A,N/A,N/A,0.034,N/A,N/A,Multi-Cutter Plunge Saw Blades,"Wood, Plastic, Fibreglass, Nails, Non-Ferrous Metals, Thin Sheet Metal & Hardened Fillers",N/A,PACK,"Suitable for cutting wood, plastic, fibreglass, nails, non-ferrous metals, thin sheet metal and hardened fillers. Compatible with most multi-cutters.

Key Features:
• Cuts Wood, Plastic, Fibreglass, Nails, Non-Ferrous Metals, Thin Sheet Metal & Hardened Fillers
• Adaptor & Fixing Pin Connection
• Plunge Cut
• High-Speed Steel Teeth
• Quick-Change Fittings"
ERBAUER WOOD PLUNGE CUTTING BLADE 32MM,https://www.screwfix.com/p/erbauer-wood-plunge-cutting-blade-32mm/4392v,4392V,Screwfix,4.49,"https://media.screwfix.com/is/image/ae235/4392V_P, https://media.screwfix.com/is/image/ae235/4392V_A1",UK (Default),Erbauer,1,1,1,N/A,N/A,N/A,0.032,N/A,N/A,Plunge Cutting Blade,Wood,N/A,N/A,"Suitable for cutting softwood and wooden furniture components. Compatible with most brands of multi-tools.

Key Features:
• Cuts Wood
• Adaptor & Fixing Pin Connection
• Plunge Cut
• High Carbon Steel Teeth"
ERBAUER MULTI-MATERIAL CUTTING BLADE SET 15 PCS,https://www.screwfix.com/p/erbauer-multi-material-cutting-blade-set-15-pcs/903pg,903PG,Screwfix,29.99,"https://media.screwfix.com/is/image/ae235/903PG_A2, https://media.screwfix.com/is/image/ae235/903PG_A3, https://media.screwfix.com/is/image/ae235/903PG_A4, https://media.screwfix.com/is/image/ae235/903PG_P, https://media.screwfix.com/is/image/ae235/903PG_A1",UK (Default),Erbauer,1,15,1,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Tool Blade Set,"Wood, Metal & Plastic",N/A,N/A,"The Erbauer multi-material cutting blade set provides comprehensive versatility with 15 pieces designed for wood, metal and plastic applications on multi-tools. This kit includes HCS saw blades, bi-metal options, HSS blades, and carbide grit triangular and half-moon blades for demanding cuts. Stainless steel scrapers and curved alternatives handle finishing work, whilst the adaptors and fixing pin connections ensure secure, reliable attachment. Whether tackling renovation projects, maintenance work or precision cutting tasks, this mixed blade set eliminates the need for multiple purchases.

Key Features:
• Adaptor & Fixing Pin Connection
• Cuts Wood, Metal & Plastic
• Bi-metal & Carbide Options Included"
ERBAUER MULTI-MATERIAL MULTI-TOOL ACCESSORY KIT 15 PCS,https://www.screwfix.com/p/erbauer-multi-material-multi-tool-accessory-kit-15-pcs/5122v,5122V,Screwfix,9.99,"https://media.screwfix.com/is/image/ae235/5122V_P, https://media.screwfix.com/is/image/ae235/5122V_A1",UK (Default),Erbauer,1,15,1,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Tool Accessory Kit,"Wood, Metal & Plastic",N/A,N/A,"Kit of the most common multi-tool accessories. For use with most brands of multi-tools.

Key Features:
• Adaptor & Fixing Pin Connection
• Cuts Wood, Metal & Plastic"
ERBAUER MULTI-MATERIAL CUTTING BLADE SET 8 PCS,https://www.screwfix.com/p/erbauer-multi-material-cutting-blade-set-8-pcs/7390p,7390P,Screwfix,19.99,"https://media.screwfix.com/is/image/ae235/7390P_P, https://media.screwfix.com/is/image/ae235/7390P_A1, https://media.screwfix.com/is/image/ae235/7390P_A2",UK (Default),Erbauer,1,8,1,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Cutter Saw Blade Set,"Wood, Metal, Plastic, Wood with Nails, Laminate, Ceramic, Stone, Grout & Mortar",N/A,N/A,"For sanding, scraping and cutting through wood, metal, plastic, nail-embedded wood, laminate, ceramic, stone, grout and mortar. Compatible with most multi-cutters.

Key Features:
• Adaptor & Fixing Pin Connection
• Cuts Wood, Metal, Plastic, Wood with Nails, Laminate, Ceramic, Stone, Grout & Mortar
• Quick-Change Fittings"
